序号	解包ID序号	English	中文
1	W_SWD_001	Cypress Stick	柏木棍
2	W_SWD_002	Oaken Club	橡木棍
3	W_SWD_003	Copper Sword	铜剑
4	W_SWD_004	Steel Broadsword	钢铁大剑
5	W_SWD_005	Cautery Sword	烙铁剑
6	W_SWD_006	Saw Blade	锯刃
7	W_SWD_007	Rippled Rapier	波纹刺剑
8	W_SWD_008	Faerie Foil	妖精细剑
9	W_SWD_009	Platinum Sword	白金剑
10	W_SWD_010	Icicle Dirk	冰锥匕首
11	W_SWD_011	Dream Blade	梦之剑
12	W_SWD_012	Falcon Blade	隼剑
13	W_SWD_013	Siren Sword	海妖之剑
14	W_SWD_014	Zombiesbane	亡灵杀手
15	W_SWD_015	Dragonsbane	屠龙剑
16	W_SWD_016	Fire Blade	火焰之剑
17	W_SWD_017	Sword of the Roamers	流浪者之剑
18	W_SWD_019	Sunderbolt Blade	裂雷剑
19	W_SWD_020	Godaeas Sword	戈迪亚斯之剑
20	W_SWD_021	Miracle Sword	奇迹之剑
21	W_SWD_022	Blizzard Blade	暴雪剑
22	W_SWD_023	Bastard Sword	混种剑
23	W_SWD_024	Sword of Ruin	破灭之剑
24	W_SWD_025	Double-Edged Sword	双刃剑
25	W_SWD_026	Kingsblade	王者之刃
26	W_SWD_027	Sea Serpent Sabre	海蛇弯刀
27	W_SWD_028	Metal King Sword	金属王剑
28	W_SWD_029	Okeanos Sword	俄刻阿诺斯之剑
29	W_SWD_030	Frying Pan	平底锅
30	W_DGR_001	Bone Stake	骨桩
31	W_DGR_002	Bronze Knife	青铜小刀
32	W_DGR_003	Divine Dagger	神圣匕首
33	W_DGR_004	Poison Moth Knife	毒蛾刀
34	W_DGR_005	Assassin's Dagger	刺客匕首
35	W_DGR_006	Poison Needle	毒针
36	W_DGR_007	Falcon Knife Earrings	隼刃耳饰
37	W_SPR_001	Bamboo Spear	竹枪
38	W_SPR_002	Iron Lance	铁枪
39	W_SPR_003	Holy Lance	神圣枪
40	W_SPR_004	Demon Spear	恶魔枪
41	W_AXE_001	Stone Axe	石斧
42	W_AXE_002	Iron Axe	铁斧
43	W_AXE_003	Battleaxe	战斧
44	W_AXE_004	Headsman's Axe	刽子手之斧
45	W_FAN_001	Stone Fangs	石牙
46	W_FAN_002	Steel Fangs	钢牙
47	W_FAN_003	Ferocious Fangs	凶暴獠牙
48	W_FAN_004	Orichalcum Fangs	奥利哈康牙
49	W_CLW_001	Iron Claws	铁爪
50	W_CLW_002	Fire Claws	火焰爪
51	W_CLW_003	Dragon Claws	龙爪
52	W_CLW_004	Cobra Claws	眼镜蛇爪
53	W_CLW_005	Beast Claws	野兽之爪
54	W_BOO_001	Boomerang	回旋镖
55	W_BOO_002	Edged Boomerang	利刃回旋镖
56	W_BOO_003	Flametang Boomerang	火焰回旋镖
57	W_WHP_001	Thorn Whip	荆棘鞭
58	W_WHP_002	Leather Whip	皮鞭
59	W_WHP_003	Chain Whip	锁链鞭
60	W_WHP_004	Dragontail Whip	龙尾鞭
61	W_WHP_005	Spiked Steel Whip	刺钢鞭
62	W_WHP_006	Gringham Whip	格林汉姆鞭
63	W_WHP_007	Morning Star	晨星
64	W_WHP_008	Flail of Destruction	破坏之连枷
65	W_OGI_001	Lunar Fan	月之扇
66	W_OGI_002	Solar Fan	太阳扇
67	W_ROD_001	Wizard's Staff	魔法师之杖
68	W_ROD_002	Staff of Salvation	救赎之杖
69	W_ROD_003	Lightning Staff	闪电杖
70	W_ROD_004	Snooze Stick	催眠之杖
71	W_ROD_005	Staff of Divine Wrath	神罚之杖
72	W_ROD_006	Staff of Sentencing	审判之杖
73	W_ROD_007	Staff of Antimagic	封魔杖
74	W_ROD_008	Rune Staff	符文杖
75	W_ROD_009	Sage's Staff	贤者之杖
76	W_ROD_010	Magma Staff	熔岩杖
77	W_ROD_011	Staff of Resurrection	复活之杖
78	W_ROD_012	Watermaul Wand	水击魔杖
79	W_ROD_013	Saviour's Staff	救世主之杖
80	W_ROD_017	Slime Stick	史莱姆杖
81	W_HAM_001	Giant Mallet	巨锤
82	W_HAM_002	Sledgehammer	大锤
83	W_HAM_003	War Hammer	战锤
84	W_HAM_004	Hela's Hammer	赫拉之锤
85	W_FIS_001	Knuckledusters	拳套
86	S_SHI_001	Pot Lid	锅盖
87	S_SHI_002	Leather Shield	皮盾
88	S_SHI_003	Scale Shield	鳞盾
89	S_SHI_004	Kitty Shield	小猫盾
90	S_SHI_005	Bronze Shield	青铜盾
91	S_SHI_006	Iron Shield	铁盾
92	S_SHI_007	Silver Platter	银盘
93	S_SHI_008	White Shield	白盾
94	S_SHI_009	Magic Shield	魔法盾
95	S_SHI_010	Platinum Shield	白金盾
96	S_SHI_011	Ice Shield	冰盾
97	S_SHI_012	Dragon Shield	龙盾
98	S_SHI_013	Bottlenose Buckler	宽吻海豚盾
99	S_SHI_014	Tempest Shield	暴风盾
100	S_SHI_015	Flame Shield	火焰盾
101	S_SHI_016	Shield of Shame	耻辱之盾
102	S_SHI_017	Power Shield	力量盾
103	S_SHI_018	Ogre Shield	食人魔盾
104	S_SHI_019	Silver Shield	银盾
105	S_SHI_020	Ruinous Shield	毁灭之盾
106	S_SHI_021	Aeras Shield	风神盾
107	S_SHI_022	Metal King Shield	金属王盾
108	S_SHI_028	Blue Slime Shield	蓝色史莱姆盾
109	S_SHI_029	Red Slime Shield	红色史莱姆盾
110	S_SHI_030	Green Slime Shield	绿色史莱姆盾
111	S_SHI_031	Silver Slime Shield	银色史莱姆盾
112	B_ARM_001	Plain Clothes	普通衣服
113	B_ARM_002	Wayfarer's Clothes	旅人之服
114	B_ARM_003	Silk Tuxedo	丝绸礼服
115	B_ARM_004	Slime Gooniform	史莱姆混混装
116	B_ARM_005	Dancer's Costume	舞者装束
117	B_ARM_006	Noble Garb	贵族服饰
118	B_ARM_007	Cloak of Evasion	闪避披风
119	B_ARM_008	Garish Garb	华丽服装
120	B_ARM_009	Captain's Coat	船长外套
121	B_ARM_010	Smart Suit	时髦西装
122	B_ARM_011	Magical Skirt	魔法裙
123	B_ARM_012	Leather Dress	皮裙
124	B_ARM_013	Party Dress	宴会礼服
125	B_ARM_014	Spangled Dress	亮片裙
126	B_ARM_015	Shimmering Dress	闪烁裙
127	B_ARM_016	Rags	破布衣
128	B_ARM_017	Fur Cape	毛皮披风
129	B_ARM_018	Glombolero	格隆博长袍
130	B_ARM_019	Dark Robe	黑暗长袍
131	B_ARM_020	Silk Robe	丝绸长袍
132	B_ARM_021	Magic Vestment	魔法法衣
133	B_ARM_022	Legerdemantle	戏法披风
134	B_ARM_023	Cirrus Surplice	卷云法衣
135	B_ARM_024	Angel's Robe	天使长袍
136	B_ARM_025	Vestment of Virtue	美德法衣
137	B_ARM_026	Flowing Dress	流动裙
