DRAGON QUEST VII Reimagined item ID by Ruimusume（露易娘）

序号	中文	日文	英文	分类	图片
0	柏木棍	ひのきのぼう	Cypress Stick	装备	000.png
1	铜剑	どうのつるぎ	Copper Sword	装备	001.png
2	钢铁剑	はがねのつるぎ	Steel Broadsword	装备	002.png
3	破邪之剑	はじゃのつるぎ	Cautery Sword	装备	003.png
4	锯齿刀	のくぎり刃	Saw Blade	装备	004.png
5	涟漪之剑	さざなみの剣	Rippled Rapier	装备	005.png
6	妖精之剑	ようせいの剣	Faerie Foil	装备	006.png
7	白金剑	プラチナノード	Platinum Sword	装备	007.png
8	冰刃	こおりのやいば	Icicle Dirk	装备	008.png
9	浅眠之剑	まどろみの剣	Dream Blade	装备	009.png
10	隼之剑	はやぶさの剣	Falcon Blade	装备	010.png
11	诱惑之剑	ゆうわくの剣	Siren Sword	装备	011.png
12	斩尸剑	ゾンビキラー	Zombiesbane	装备	012.png
13	斩龙剑	ドラゴンキラー	Dragonsbane	装备	013.png
14	火焰剑	ほのおのつるぎ	Fire Blade	装备	014.png
15	尤巴尔之剑	ユバールの剣	Sword of the Roamers	装备	015.png
16	雷鸣之剑	らいめいの剣	Sunderbolt Blade	装备	016.png
17	哥迪亚斯之剑	ゴヂィアスの剣	Godaeas Sword	装备	017.png
18	奇迹之剑	きせきのつるぎ	Miracle Sword	装备	018.png
19	风雪之剑	ふぶきのつるぎ	Blizzard Blade	装备	019.png
20	手半剑	バスタートソード	Bastard Sword	装备	020.png
21	破坏之剑	はかいのつるぎ	Sword of Ruin	装备	021.png
22	双刃剑	もろはののつるぎ	Double-Edged Sword	装备	022.png
23	王者之剑	王者のつるぎ	Kingsblade	装备	023.png
24	水龙之剑	水竜の剣	Sea Serpent Sabre	装备	024.png
25	金属史莱姆王剑	メタルキングの剣	Metal King Sword	装备	025.png
26	海神之剑	オチェーアノの剣	Okeanos Sword	装备	026.png
27	银河之剑	ぎんがのつるぎ	Hypernova Sword	装备	027.png
28	彗星之剑	すいせいのつるぎ	Supernova Sword	装备	028.png
29	金属史莱姆之剑	メタスラの剣	Metal Slime Sword	装备	029.png
30	流浪金属史莱姆剑	はぐれメタルの剣	Liquid Metal Sword	装备	030.png
31	光之剑	ひかりのつるぎ	Aurora Blade	装备	031.png
32	梅尔文之剑	メルビンの剣	Sir Mervyn's Sword	装备	032.png
33	洛特之剑	ロトのつるぎ	Erdrick's Sword	装备	033.png
34	史莱姆之剑	スライムの剣	Slime Sword	装备	034.png
35	真・水龙之剑	真・水竜の剣	Supreme Sea Serpent Sabre	装备	035.png
36	利骨	とがったホネ	Bone Stake	装备	036.png
37	青铜短刀	ブロンズナイフ	Bronze Knife	装备	037.png
38	神圣短刀	せいなるナイフ	Divine Dagger	装备	038.png
39	毒蛾短刀	どくがのナイフ	Poison Moth Knife	装备	039.png
40	刺客匕首	アサシンダガー	Assassin's Dagger	装备	040.png
41	毒针	どくばり	Poison Needle	装备	041.png
42	穿刺耳环	キラーピアス	Falcon Knife Earrings	装备	042.png
43	夜蝶短剑	よるのバピヨン	Dread Dagger	装备	043.png
44	竹矛	たけのやり	Bamboo Spear	装备	044.png
45	铁矛	てつのやり	Iron Lance	装备	045.png
46	神圣之矛	ホーリーランス	Holy Lance	装备	046.png
47	恶魔之矛	デーモンスピア	Demon Spear	装备	047.png
48	白金矛	プラチナのやり	Platinum Lance	装备	048.png
49	圣龙偃月刀	聖竜のえんげつとう	Heaven's Talon	装备	049.png
50	石斧	石のオノ	Stone Axe	装备	050.png
51	铁斧	てつのオノ	Iron Axe	装备	051.png
52	战斧	バトルアックス	Battleaxe	装备	052.png
53	魔神之斧	まじんのオノ	Headsman's Axe	装备	053.png
54	巨斧	グレードアックス	Bad Axe	装备	054.png
55	石牙	石のキバ	Stone Fangs	装备	055.png
56	钢铁之牙	はがねのキバ	Steel Fangs	装备	056.png
57	魔兽之牙	まじゅうのキバ	Ferocious Fangs	装备	057.png
58	奥利哈尔刚之牙	オリハルコンのキバ	Orichalcum Fangs	装备	058.png
59	铁爪	てつのツメ	Iron Claws	装备	059.png
60	火焰之爪	ほのおのツメ	Fire Claws	装备	060.png
61	龙爪	ドラゴンクロー	Dragon Claws	装备	061.png
62	恶魔之爪	あくまのツメ	Cobra Claws	装备	062.png
63	魔兽之爪	まじゅうのツメ	Beast Claws	装备	063.png
64	冥兽之爪	冥獣のツメ	Monster Slashers	装备	064.png
65	回旋镖	ブーメラン	Boomerang	装备	065.png
66	利刃回旋镖	やいばのブーメラン	Edged Boomerang	装备	066.png
67	火焰回旋镖	ほのおのブーメラン	Flametang Boomerang	装备	067.png
68	金属史莱姆回旋镖	メタスラブーメラン	Metal Goomerang	装备	068.png
69	流浪金属史莱姆镖	はぐメタブーメラン	Liquid Metal Goomerang	装备	069.png
70	金属史莱姆王回旋	メタキンブーメラン	Metal King Goomerang	装备	070.png
71	史莱姆回旋镖	スライムブーメラン	Slime Boomerang	装备	071.png
72	荆棘鞭	いばらのムチ	Thorn Whip	装备	072.png
73	皮鞭	皮のムチ	Leather Whip	装备	073.png
74	锁链鞭	チェーンクロス	Chain Whip	装备	074.png
75	龙尾鞭	ドラゴンテイル	Dragontail Whip	装备	075.png
76	钢铁之鞭	はがねのムチ	Spiked Steel Whip	装备	076.png
77	古林盖姆之鞭	グリンガムのムチ	Gringham Whip	装备	077.png
78	晨星鞭	モーニングスター	Morning Star	装备	078.png
79	破坏铁球	はかいの鉄球	Flail of Destruction	装备	079.png
80	野兽鞭	ビーストウィップ	Beastly Bullwhip	装备	080.png
81	超古林盖姆之鞭	超グリンガムのムチ	Über Gringham Whip	装备	081.png
82	月之扇	月のおうぎ	Lunar Fan	装备	082.png
83	太阳之扇	太陽のおうぎ	Solar Fan	装备	083.png
84	星之扇	星のおうぎ	Stellar Fan	装备	084.png
85	圣王之扇	聖王のおうぎ	Dryspell Fan	装备	085.png
86	玫瑰人生	ラヴィアンローズ	Rose-Tinted Spectaculars	装备	086.png
87	魔道士法杖	まどうしの杖	Wizard's Staff	装备	087.png
88	祝福之杖	しゅくふくの杖	Staff of Salvation	装备	088.png
89	雷鸣法杖	いかすちの杖	Lightning Staff	装备	089.png
90	沉睡法杖	ねむりの杖	Snooze Stick	装备	090.png
91	天谴法杖	てんばつの杖	Staff of Divine Wrath	装备	091.png
